recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
150,_aem001aems01_0068,1589,1589.0,1000025,33333333,vmvmvmvm,aBaBcDcD,3a 3B 3a 3B 3c 3D 3c 3D,.3a   .3B   .3a   .3B   .3c   .3D   .3c   .3D,liefdeslied,8,8,"Int hert heb ick vercoren,
Een bloemken soet en guer.
Zy doet my vruecht oorboren,
Oock lijden groot ghetruer.
Zy doet my vrolick singen,
Oock suchten menich stout,
Ick moet dit al ghehingen
Noch blijf ic in haer ghewout.

Na mijn Lief wil ick wachten,
Alle tijt onghecesceert
Veel daghen ende nachten,
Voor den tijt eens anders keert
Ghelijck Jacob volherden,
Twe seuen Jaren wt
Eer hem Rachel mochten werden
Tot zijnder liefste bruyt.

Aen haer heb ic bevonden
Al dat mijn herte behaecht
Venus heeft my ghesonden,
Daer ick lange na hebbe gheiaecht
Ghelijck Venus Paris beloofde,
Helena dat schone wijf
Die hy wt Griecken roofde,
Waer duer quam groot ghekijf.

Nemmermeer en sal ick laten,
Te zijn met haer verhuecht
Hoe wel dat nijders haten,
En benyen onsen vruecht
Ghy valsche Junos kinderen,
Van binnen heel vernijnd
Seght my wat macht v hinderen
Dat die sonne int water schynt.

Eer moet aen haer beclyuen,
Die my haer ionste boot,
Haer eyghen wil ick blyuen
Altijt tot inden doot
Ghelijck Piramus ghetrouwe
Doch sulcken druck aenbiet
Die om Tisbe die schone vrouwe,
Sijn ionghe leuen liet

Iuoren zijn haer tanden.
Haer lipkens root als een corael
Daer toe snewitse handen,
Bruyn ooghen tenemael
Apelles noyt en wrochte,
Lieflicker beeldeken ient
Och of ick altoos mochte,
By haer oock zijn present.

Keer weder druckich ghepeysen,
Ghy doet mijn hert zo we
Dus moet ick seluer reysen,
Om mijn lieueken ouer ze.
O Aeole wilt wayen,
Neptune gheeft my vloet
Om mijn liefken te peyen,
Want ick by haer wesen moet.

Naest Venus die desse,
Gheef ick haer den hoochsten prijs,
Ick bid v mijn Princesse
Leeft docht na mijn advijs,
Cupido met zijnen toortse
Ontsteeckt mijn hert gheheel
Eylacy lief ic lyde foortse
Helpt my uyt mijn ghequel.",'s Winters 's zomers even groen,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
151,_aem001aems01_0069,1589,1589.0,1000025,43433344,mvmvmmmm,AbAbCCCC,4A 3b 4A 3b 3C 3C 4C 4C,4A   .3b    4A   .3b   .3C   .3C    4C   .4C,liefdesklacht,4,8,"Iuecht en duecht, mijn hert verhuecht
Altijt so moet ick trueren.
Troost my schoon lief alzo ghy muecht,
Laet my eens troost ghebueren,
Schoon lief v claer aenschijn
Ghy verhuecht dat herte mijn
Liefde te draghen is gheen pijn.
Als liefd' met liefd' gheloont mach zijn.

Peinsen hopen suchten en trueren,
Heeft mijn hert bevangen
mach mijn geen troost van haer ghebueren
Na haer staet mijn verlangen
Voor haer koos ick gheen goet,
Dat doet haer edel bloet
Liefde te draghen is gheen pijn
Als liefde met liefde geloont mach zijn.

Mocht ickse aensien tot, alder tijt,
So waer ick ghans ghenesen
Haer wesen dunckt mijn een iolijt,
Si wert van mijn ghepresen
Haer lijf staet also net.
Wter maten wel gheset
Liefde te draghen is gheen pijn
Als liefde met liefde gheloont mach zijn.

Oorlof hier Princesse fier,
Mijn hert laet ick te pande
Weest mijn doch gracelick hier,
Als ick ben wten lande.
Schoon lief als ick peyns om dijn
So verhuecht dat herte mijn
Liefde te draghen en is gheen pijn
Als liefde met liefde gheloont mach zijn.",Jeugd en deugd,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
153,_aem001aems01_0071,1589,1589.0,1000025,44444444,vmvmvmvm,aBaBcDcD,4a 4B 4a 4B 4c 4D 4c 4D,.4a   .4B   .4a   .4B   .4c   .4D   .4c   .4D,liefdesklacht,12,8,"Ick weet een Bloemken soet van guere,
So vast gheprent al in mijn hart,
Ick ghae dickwils voorby haer deure
Want om haer lijde ick grote smart,
Ick salt niet langher connen verdraghen
Wil zy my nu niet troosten saen,
So mach ick die ure wel beclagen
Dat ick oyt leuen heb ontfaen.

Dat bloemken dat ghy hebt wt vercoren
Wilt v ghedachten stelle daer van
Want sy is voor v niet gheboren
Ja sal trouwen een ander Man
Dus wilt v tot een ander begheuen,
Ende kiesen doch een ander lieff
Op dat het v oock niet coste het leuen
Van haer en crijchdy geen gerieff.

Sin en memorie sijn van my gheweken
Ick weet my seluen ghenen raet
Ick coom dicwils om haer te spreken,
Maer het is altijt te vroech ofte laet
Een ander vint ick neuens haer zide
Daer ick eens te sitten plach
Hoe soude ick my connen verblijden
Ick sie wel datse my niet en vermach

Sin en memory wilt doch behouwen,
En wilt doch niet meer treurich zijn
Al ist dat zy een ander wil trouwen
Verheucht u weer met een ander Robijn
Sout ghy daerom v vruechde laeten
Ick bidt v doch hoort mijn vermaen
Want wat soude v moeghen baeten
Als ghy gheen troost en zout ontfaen.

Ick stont wel eens in haerder gracy,
Maer den tijt is nv al ghepasseert
Ic weet niet hoe ickt heb verdient eylacy
Dat zy haer aenschijn dus van my keert
Want ick haer altijt onbedieerde
In alles want zy gheboot
En dede naerstich dat zy begheerde
Nu loont zijt my met lijden groot.

Al stont ghy eens in hare sinnen
En is ghepasseert nu den tijt
Soeckt ghy sult wel een ander vinnen,
Daer ghy sult wesen mede verblijt
So goede Rosen sietmen spruyten,
Alsser blijuen onder die voet
Dus wiltse buyten v harteken sluyten,
En houden altijt goede moet

Sal ick het treuren moeten eruen,
So mach ick wel beclaghen den dach
En roepen nu altijt om steruen
Want ic het niet langher verdragen mach
Ic vergae gelijck die sne al van der sonnen
Verdwijnt al van der hitte claer,
Och oft ic noyt en hadde begonnen,
So waer ick wt dit lijden swaer

En wilt doch daerom niet meer treuren
Want ick gheef v doch goede raet
Want minnaers moeten veel besueren
Maer daerom haer niet en versmaet
Dan na het beuel haers ouders vol eeren
Wil zy haer schicken ende daer na doen,
Dus laet vreucht in v vermeren
Ende verblijt v in dit saysoen

Ghelijck dat Tortelduyfken rene,
Bedroeft is om zijn gayken clene
So gae ick oock suchten en wenen
Ende vinde my seluen oock alleen
My dunckt mijn Lieff heeft my verlaten
Ten comt niet toe by mijnen schult
Maer nijders vals met haren praten
Die hebben haer t'hooft met logens gevult

Men mach v wel by dat Tortelduyfken ghelijcken
Dat van zijn gaeyken ghescheyden was,
Al is men juyst niet euen rijcken
Verkiest een ander op dit pas
Al ist by v schult niet toeghecomen
Wilt Cupido gheuen die schult
Hy heeft t'hart al van de schone bloemen
Met liefden al van een ander gevult.

Princesse wilt v dienaer ghedencken
En wilt hem helpen wt desen pijn
Wilt ghy, ghy meucht hem t'leuen schencken
Want het staet in die handen dijn
Och wout ghy v seluen eens verneren
En troosten eens v dienaer hier
So sout ghy zijn last in vruechden verkeren,
En leuen voort in groot playzier

En wilt niet meer aen die Princesse versoecken,
Op dat ghy niet meer compt in schant
Noch en wilt niet meer schuylen in hoecken
Maer ghy meucht wel comen ter handt
Om Minnaer vol eeren twordt wel bevonden,
Dat hem wel wort gherefuseert
Deur giericheyt hoort mijn vermoden
Dus v niet meer en perturbeert.",'s Winters 's zomers even groen,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
156,_aem001aems01_0074,1589,1589.0,1000025,4444,vmvm,aBaB,4a 4B 4a 4B,",4a   ,4B   ,4a   .4B",liefdesklacht,8,4,"In groot ongeluck ben ick gebooren
Want Fortuyn my rebelleert
Swaer ghepeyns comt my te vooren,
Waer deur mijn vreuchde declineert.

Om v absentie is mijn versuchten,
Eerbaer Maechdeken delicaet
Want ick sorghe voor quade gheduchten
Die veel gheschieden door nijt en haet

Hout v beloften gheschiet int scheyden,
Van v en my ghy weet wel waer
So sal ick hopende, den tijt verbeyden
Hoewel een uyr my druckt een iaer.

Al mocht my Cresus schat ghebeuren,
En Alexanders Rijckdom groot
Jae des Werlts vreuchde te kueren,
Sonder v Liefken waert my die doot.

Niemant en can mijn gheest vermaecken
Dan ghy o edel Vrouweken graen
Om v alleen moet ickse versaecken,
Hoe rijck hoe schoon hoe wel ghedaen.

Nacht en dach is mijn ghedencken,
Ons diuizeren sonder pijn,
Twelck nu falgeert en my gaet crencken
Dus weest ghenadich over mijn

Ewighe vruecht sal ick ghenieten
Is dat ghy mijns ghenadich zijt
Pijn noch arbeyt sal my verdrieten,
Ontfermt ghy mijnder nv eer tijt.

So sal Princesse alle mijnen rouwe,
En dangier gheheel van my vlien
Dus blijft v dienaer in liefde ghetrouwe,
En laet my troost als nu gheschien.",In een groot ongeluk ben ik geboren,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
159,_aem001aems01_0077,1589,1589.0,1000025,23232323234433,mvmmmvmmmmmmmm,AbACAbACCDEEDD,2A 3b 2A 3C 2A 3b 2A 3C 2C 3D 4E 4E 3D 3D,.2A   .3b   .2A   .3C   .2A   .3b   .2A   .3C   .2C   .3D   4E   .4E   .3D   .3D,"nieuwjaarslied
liefdeslied",4,14,"Ick ben deurwont
Al met Copidos stralen
Heel onghesont
Wie sal mijn gheuen raet
V rooder Mont
Daer ick niet aen sal falen
In corter stont
Wantet v luttel schaet
Ick roep om baet
Dies mijn toch nu verhoort
Ghy zijt mijn troost en medecijn
Daerom voldoet de bede mijn
Duert minlijck accoort
Int nieuwe Jaer nv voort.

Niemant dan ghy
En can mijn quael ghenesen
Dat segt ick vry
Dus compt mijn Lief ontrent
Nyders gheschry
Daer en wilt niet voor vreesen
Maer brengt nu by
V troost seer excelent
Of heel gheschent
Blijf ick tot deser tijdt
Dat waer v leet dat weet ick claer
Weest mijn ghetrou vergeten aer
So wort mijn Hart verblijt
Int nieuwe Jaer met vlijt.

Gheen schoon samblant
Al wt gheueynsder harten
Toont mijn Lief, want
Dat zijn die Cruyden niet
Maer abondant
Verlicht mijn pijne smarten
Biet mijn v hant
Helpt mijn wt dit verdriet
Troostbaricht ziet
Op mijn v Dienaer trou
So is my hart ghenesen wis
Wantet wt alle vreesen is
En ick v voor mijn Vrou
Int Nyeuwe Iaer nu hou.

Princesse reyn
Bloem bouen alle wijuen
In swerelts pleyn
Gheen lieuer lief voorwaer
Dan ghy alleyn
V eyghen sal ick blijuen
Ick segt certeyn
In u weet ick gheen maer
Want v naem claer
Staet in mijn Jonck hart siet
En is bequaem en Lieflijck
Dies send ick v seer brieffelijck
Dit Nieuwe Jaer liet
Dwelck wt Liefden gheschiet.",De tijd is hier,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
161,_aem001aems01_0079,1589,1589.0,1000025,4444444444,mmmmmmmmmm,ABABBBCDCD,4A 4B 4A 4B 4B 4B 4C 4D 4C 4D,.4A   .4B   .4A   .4B   .4B   .4B   .4C   .4D   .4C   .4D,liefdeslied,5,10,"Bedrijft vreucht, maect reyn geneucht
Wt liefden ient, tot deser tijt
Door die schoone suyuer ieucht
Ter eeren van haer weest nu verblijt
Verheucht v al wie dat ghy zijt
Troost v lieueken met iolijt
Al zijt ghy wt die ooghen van mijn
Nochtans mijn hart in v altijt siet
Ghy sult certeyn de Liefste zijn
Absent en scheyt die liefden niet

Mocht ick noch eens wt liefden reyn
Als Lief met v zijn leuende
Ghy zijt certeyn dat liefste greyn
Al zijt ghy van my sneuende
Wt rechter liefden aencleuende
Sijt ghy my ionsten geuende
Al zijt ghy wt die ooghe van mijn
Nochtans mijn hart v altijt siet
Ghy sult certeyn die liefste zijn
Absent en scheyt die liefde niet

Reyn liefde draech ick tot v schoon lief
In amoreusheyt heel verblent
Peynst toch somtijts eens om mijn gerief,
Want mijn hart is v bekent
Schoon lief al ben ick van v absent
Als Godt wil sal ick sijn present
Al zydy wt die ooghen van mijn,
Nochtans mijn hart v altijt siet
Ghy sult certeyn die liefste zijn
Absent en scheyt die Liefste niet

Ghetrou blijf ick v lief altijt
In liefden daer toe niet rebel
Neemt dit in danck laet zijn beurijt
Ons liefden voor die nyders fel
Mijn hert dat leeft in groot ghequel
Dat absenteeren valt mijn te snel
Al zijt ghy wt die ooghen van mijn
Nochtans mijn hert v altijt siet
Ghy sult certeyn die liefste zijn
Absent en scheyt die liefde niet

Oorlof Princes op dit termijn
Dit cleyn bedrijf niet en versmaet
Het was mijn een groote pijn
Dat ick most scheyden desolaet
Ghy zijt mijn troost mijn toeuerlaet
Wacht v voor die Nyders quaet
Al zijt ghy wt die ooghen van mijn,
Nochtans mijn hart v altijt siet
Ghy sult certeyn die liefste zijn
Absent en scheyt die liefde niet.",Bedrijf vreugde maak reine geneugte,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
164,_aem001aems01_0082,1589,1589.0,1000025,3333223223,vmvmvvmvvm,aBaBccDccD,3a 3B 3a 3B 2c 2c 3D 2c 2c 3D,.3a   .3B   .3a   .3B   .2c + .2c   .3D   .2c + .2c   .3D,liefdesklacht,9,8,"Met gantscher bedruckter harten
Claech ic v mijn swaer torment
Want ick lijde druck en smerte,
Om dat ick moet zijn absent
Van de liefste reyne, die ick certeyne
Met gantscher harten bemin
Schoon Roosemereyne, ghy zijt alleyne
Vercoren in mijn zin.

Hoe soude ick v connen vergeten
Dien ick alsoo seer bemin
Want ghy zijt in mijn gheseten
Bouen Venus die Godin
Onder tshemels trone, spant sy de crone
Die int Hart verheuen is
Want ghy zijt schone, Net van persone
Van leden zijt ghy fris

Ghelijck die maen is blinckende schone
Bouen alle sterren cleyn
Also spant zy voorwaer die crone
Bouen alle Vrouwen reyn
Mocht ick eens wesen, vry sonder vresen
By v schoon Bloemken ient
Schoon lief ghepresen, ghy cont ghenesen
Mijn druck en swaer torment.

Lacy moet ick nu staen besiden,
Dat door dese clappers fel
Die mijn liefd' t'uwaert benijden,
En maecken mijn sinnekens rebel
Door uwen cueren, moet ick besueren
Int harte lijden groot,
Tot alder uren so moet ick treuren
Om v reyn roosken root.

Weest ghedachtich Thisbe schoone,
Welck verwacht haer soete Lief
Piramus quam aldaer ten toone,
Niet vindende zijn liefste Lief
Mistroostich alsoo dat schene, om zijn lief allene
Hem selfs aen deed' die doot,
Dat siende Thisbe reene, zy viel in wenen,
Sterf by haer lief die doot.

Venus met uwen straele
Hoe valt ghy my dus rebel
Wat eer cont ghy aen my behalen,
Dat ghy my doet dit ghequel
Ghy hebt mijn ghegheuen, wt v Beecker verheuen
Den dranck der minnen soet
Alle mijn ionck leuen, brengt ghi in sneuen,
Al door den minnen gloet.

Cupido wreet en moortdadich,
Ghy hebt mijn ionck hart doorwont
Met uwen pijlen onghenadich
Schiet ghy my tot alder stont
Lief tot allen daghen, so moet ick clagen,
Mijn druck en teghenspoet
Ick moet nv dragen, dese swaer plaghen
Om v reyn Liefken soet.

Nochtans had ick voor my ghenomen
V dienen tot alder tijt,
Lopende den tijt sou comen
Dat wy souden zijn verblijt
Lief moet ick v deruen, so moet ick steruen
Troost hem die vrede doet
Na Atropos eruen, so moet ick sweruen
Laet ghy my inde noot.

Adieu Princes met droeuighen sinnen
V beveel ick mijn ionghe hart
Adieu mijn liefste die ick beminne
Waerom ick moet lijden smart
Gheeft Medecijne, den Dienaer dijne
Verhoort toch mijn propoost
Want t'allen termijne, ic heel verdwijne,
Laet ghy my onghetroost.",Quatre branles,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
174,_aem001aems01_0092,1589,1589.0,1000025,33333323,vmvmvvmm,aBaBccBB,3a 3B 3a 3B 3c 3c 2B 3B,.3a   .3B   .3a   .3B   .3c   .3c   .2B + .3B,liefdeslied,5,7,"Mocht ick gheluck verweruen
Al nae mijn t'shertsen sin
Mijn liefken soude ick eruen,
Al in dat harte mijn
Teghens mijn sins begheren,
Moet ickse nv ontberen
Waer machse zijn, Die alderliefste mijn.

Sy is so schoon van clueren,
Ghelijcken een Diamant
Mocht zy mijn eens ghebeuren
Dat Maechdeken triumphant,
Triumphant is zy van leden,
Seer excelent van seden
Waer machse zijn, Den alderliefste mijn.

Och mocht ick by haer wesen,
Dat machdeken dat ick meyn
So waer mijn druck ghenesen
Daer sulcke Bloemkens zijn
Daer sulcke Bloemkens bloeyen
Met Venus dou bespoeyen
Waer machse zijn die alderliefste mijn.

Sy heefter twe bruyn ooghen
So claer als een Cristelijn
Sy doet mijn pijn ghedoghen,
Al in dat Herte mijn,
Mocht ickse eens aenschouwen
Die fleur bouen alle Vrouwen,
Waer machse zijn, Die alderliefste mijn.

Princesse Lief verheuen
Om u reyn Maechdeken fijn,
Ghy staet so vast gheschreuen
Al in dat herte mijn,
Bouen Helena schone
Spant ghy int hart die crone.
Waer machse zijn, Den alderliefste mijn.",Mocht ik geluk verwerven,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
1815,_ant001antw01_0219,1544,1544.0,1000000,33334433,vmvmmmvv,aBaBCCdd,3a 3B 3a 3B 4C 4C 3d 3d,.3a   .3B   .3a   .3B   .4C   .4C   .3d   .3d,"historielied
kluchtlied
spotlied",8,8,"WAt segt ghi pocghghers van Cleuen
Van Gelder van Gulic me.
Wat hebt ghi toch bedreuen.
Met uwen stercken steen.
Ghi hebt v gantsche geheele macht
Met al v hulpers op ghebracht
Ghy woudet Heynsborch winnen
Maer si wisten wel bat van binnen

Hansken van Gelder ghy moecht wel zwijgen
V pochghen dat en achten wi niet
Ghy waendet Heynsborch te crijghen
Met bedelen int verdriet
Ghi zijt v leuen behouden man
Want die so naerstelijc bedelen can
den cost moet hi verweruen
Hoe soudt ghy connen bederuen

Ghy waert so dapper int spreken
Ghi bruyctet soe menich woort
Verhalende onse ghebreken
Dat hebben wi wel ghehoort
Wy en achten v snorcken niet een kaf
Dantworde die v den koeckoeck gaf
Met clappen vander vander keyen
Daer mocht ghi v toe bereyen

Die Prins al van Araignen
Heeft dat vernomen saen
Van alle die groote calaignen
Datmen Heynsborch heeft ghedaen
Si hebbent beschoten met menighen schoot
En hebbent ghebrocht in spijsens noot
Si meenden het waer ghewonnen
mer ten was niet halfbegonnen

Die Prins die wildet beletten
Als een velt heer fier
Al om Heynsborch tontsetten
Heeft hi versamelt schier
Van Ruyter en knechten een groot gewelt |
En heeftse in een slachoorden ghestelt
En borcht Heynsborch victaille
In spijt des Ghelders rapaille

Wat segdy ghy cleefsche knechten
Hoe waerdy also bedacht
Dat ghi niet en dorfte vechten
Doen ghy ons hadt verwacht
Het scheen ghy hadt so grooten moet
ghi en wildet ons ontwijcken niet eenen voet
Al waren wi noch thien hoopen
Waer om ghinct ghy dan loopen

Des Paeschauonts victory
Hadt v seer sot gemaect
Met een verwaende glory
Waerdi seer qualick geraect
Certeyn ghy haddet al anders ghemeent
Ghi hadt den Hertoch tgheschut ontleent
Ghi en wildet niet betalen
Die Prince moestet weder halen

Hertoch van Cleef met uwen steden
En doet gheen verloren pijn
En laet Heynsberch met vreden
Ten mach niet anders zijn.
Ende legt den Keyser thooft inde schoot
Ghi weet zijn macht is v te groot
Wat condy dan bedrijuen
die minste moet ghi bliuen",Van Hensburg,Antwerpen,../../data/dbnl/_ant001antw01_01.xml
2490,bred001groo01_0039,1622,1622.0,1000653,2323313313,mmmmmmvvvm,ABABCCdddC,2A 3B 2A 3B 3C 1C 3d 3d 1d 3C,.2A + .3B   .2A + .3B   .3C + .1C   .3d    3d + .1d   .3C,"moralistisch lied
klaaglied",7,6,"Wat last is liefd' // ja recht een sware last
Voor myn ‘tondiefd’ // dit spreeckwoort gaet vast,
Dat voel ick nu wel in // myn sin
Want ick moetse nu draghen:
Dus durf ick het claghen // vry waghen
Van dees vervloeckte min.

O Raserny // 't onrecht men u liefd' noemt,
U dwaeserny // met schoonen schijn verbloemt
Nu heel het jonghe hert // dat wert
Door uwe glans bedroghen
En door dijn vermoghen // ghetoghen
In dees siel-sieckt soo vert.

Dat schijn bedriegt // dat wert ic nu wel waer,
U faem die vliecht // van u deucht hier en daer
Ick gh'loofden u ghelaet // en praet;
Maer foey myn licht vertrouwen
Nu mach ick 't onthouwen // dat vrouwen
Sijn te licht van beraet.

't Scheen of u hert // aen't mijne waer gehecht,
Maer wat een pert // hebt ghy nu aengherecht,
Ghy verlaet mijn arm bloet // om 't goet
Moet ick myn Lief verliesen:
Dus moet ick van biesen // nu kiesen
Een dor ghevlochten hoed.

U Mins ghedaant // heb ick te haest gelooft
Vergheefs gewaant // en voor niet al geslooft
Geen grooter ongheluck // of stuck
En mach myn overkomen:
Want 't is my door schromen // ontnomen
En ick blijf inde druck.

Maer noch Goddin // kan ick u haten // niet
Door ware Min // al ben ick verlaten / siet;
Maer weest hier op niet trots // noch spots
Ick denck het Kan verkeeren,
Dat u den tijdt sal leeren // begheeren
Die ghy nu weyghert schots.

Princes ick roem // van u groote cracht,
Een Jongebloem // hebt ghy t' ondergebracht,
Myn voetsel is vercort // verdort
Alleenlijck door u t' derven,
Ick wens menich werven // om 't sterven,
Of dattet beter wort.",Guillemette,Amsterdam,../../data/dbnl/bred001groo01_01.xml
