recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
10,_ams008amst01_0010,1643,1643.0,1000604,444444444,mvmvvmvvm,AbAbbCddC,4A 4b 4A 4b 4b 4C 4d 4d 4C,4A 4b 4A 4b 4b 4C 4d 4d 4C,"dialooglied, wereldlijk",3,9,"ROsemonde lieve maegt
Hoe ist Damon wat salt wesen?
Siet ghy niet wie u najaegt,
Ja dat sag ick lang voor desen,
Rosemont mijn uyt gelesen:
Keert u Hertje eens tot mijn,
Neen geen klachten wil ick hooren,
Quam u eens ontrou te vooren,
Waerom t' vluchten Nimphelijn.

Om te schouwen minne-brant,
't Branden sal u hert noyt schaden
'k Vlie van sulck een swaren bant,
Vliet niet gunt mijn u genaden,
Laet u geest u anders raden,
Raden, 'k raden noyt als nu
Mijn daer soo veel maegden binne,
U mijn suyv're Godinne
Te winne door mijn trouwe trou.

Keert u ooge jongen Helt,
Ja na u mijn waerste Engel,
Mijn vryen uyt u sinne stelt
Hoe van haer na wien ick hengel
Mijn liefd' ick met geen liefde mengel,
Hoe kent sijn mijn Rosemont
'k Vlie ay laet u nimmer praten
Nochtans sal ick noyt verlaten,
Die mijn Hertje heeft door wont.",Laura zat laatst bij de beek,Amsterdam,../../data/dbnl/_ams008amst01_01.xml
44,_ams008amst01_0037,1643,1643.0,1000604,33533556,vvmvvmmm,abCabCDD,3a 3b 5C 3a 3b 5C 5D 6D,3a    3b    5C    3a    3b    5C   .5D   .6D,klaaglied,4,8,"DRoeve noot lots-vlagen,
Hoe comt gy om clampen,
Dese borst die schier door 't clagen smelt,
Clagen? jae door clagen,
Nu ô ramp der rampen!
Al mijn eer ten schand-poel is gevelt,
Eerloose Guyt gy die Diaan u trouw,
Soo dier geswooren hebt, laat ghy Diaan in rouw.

Denkt gy niet de Eeden,
Die gy snoo verrader,
Hebt gedaan, als w' aan d' Atheensche-strant,
t' Saamen gingen treeden,
Denk, ey, denk eens naader,
Hoe gy my swoert met u eygen hant:
By Hemel, Aart, by sterren, Son en Maan,
So ik u verlaat moet my de Donder slaen:

Maar om sunst beswooren
Het schynt dat sijn sinnen,
Sijn verkeert, an liefdens cracht ontbloot,
Die my had' vercooren,
Staackt sijn yvrend' Minnen
Nu hy, laas! Ontreynicht heeft mijn schoot,
Ha snoo de Prins, verdelger van mijn eer,
Ontvlieden meucht ghy my maar Iupijn nimmermeer.

Eerlievende benden,
Acht geen Minnaars sweeren,
Haar beloft is losser als de Wint,
Comt u herwaarts wenden
Om van my te leeren,
Domme jeugt: Versint eer ghy begint;
Pluckt trouwens vrucht niet voor verknochte trouw,
So krijght gy met Diaan geen knaagend' naberouw.",Granida prinses,Amsterdam,../../data/dbnl/_ams008amst01_01.xml
80,_ams008amst01_0075,1643,1643.0,1000604,443443,mmvmmv,AAbCCb,4A 4A 3b 4C 4C 3b,.4A   .4A   .3b   .4C   .4C   .3b,liefdeslied,4,6,"GY Nymfjes van het weelich Y,
Zoo zoet als neersjes van Candy,
Omheint met varsse roosjes,
Des Dageraadjes blyde schoot,
Haer Leliwit en roosjens roodt,
Die trost gy met u bloosjes.

Komt schoon gekruysde Cypris schiet
V kusjes in dees Amstel-vliet,
Op 'n schaerlake blommen,
Daer jeught en mijn aen 't stroompje swiert,
Waer 't blonde tuytje kaackjes ziert,
Met reuckjes Heligdommen.

Ey Engeltjes die 't zuyver wit?
Rond'om albaste leedjes sit,
Laat vlug u voetjes swieren,
Al langs de gracht de Heere-gracht,
Of 't grachje voll' van Keysers macht,
Dees kunt gy gaen verzieren.

V Killich borsje vuirtjes sticht
Waer door gy yder buycht tot plicht,
't Zy onder 't lommer loofje,
Als Febus kar op 't hoochste rijd,
Of als 't de felle vorst benijd,
Des winters op een stoofje.",Florida zo het wezen mag,Amsterdam,../../data/dbnl/_ams008amst01_01.xml
186,_aem001aems01_0104,1589,1589.0,1000025,434322223223,mvmvvvvvmvvm,AbAbccccDeeD,4A 3b 4A 3b 2c 2c 2c 2c 3D 2e 2e 3D,.4A   .3b   .4A   .3b   .2c   .2c   .2c   .2c   .3D   .2e   2e   .3D,"geuzenlied
spotlied",5,12,"Pater grijpt toch eenen moet //
En cust toch eens v Abdisse,
Al ligghen wy nv al onder die voet,
Wy horen noch ons Misse,
Wy hoopen wij sullen //
V buycxken noch pullen,
Wat leckers doen vullen,
Deur brieuen deur bullen,
Al zijn wy nv veriaecht //
V cappers Lamoenen 
kiecxkens Capoenen
En zijn niet al gheknaecht.

V Visselkens seer net ghebraen
Met sauxkens ouergoten,
Anijs sucaten ende dael,
Tegens den wint besloten,
V rochgen v ruymen,
V hoesten v fluymen //
Sal ic v doen ruymen //
Deur suycker en pruymen,
Dus sult ghy zijn getoeft //
Een beddeken sacht 
Te slapen by nacht //
En datter toe behoeft

Couxkens Vyghen en Rozijnen
Om soberlick te vasten,
V suypen soet van rinsche wijnen //
Die harteken niet en belasten //
Die sal ick v maecken,
Ist datse wel smaecken,
V lipkens v kaecken,
Sal ick v doen blaecken
Dus Pater weest gerust //
V swaerheyt v smetten // 
V druck van v harten
En doet al wat ghy lust.

V Lenden cusken wel gheheet
Een stoofken onder v voeten //
Smorghens vroech eer ghy v cleet,
Sal ic v comen groeten,
En segghen als Mater
Goede dach lieue Pater //
Ghelieft v wat water //
Om te wassen v frater,
Wat dienter meer gheseyt //
Te segghen met stuypen // 
Ghelieft v te suypen
Een Eyken versch gheleydt.

Princesse Pater fraey,
Al moeten wi soberen //
Ons rollen crijcht noch eenen draey //
Wy sullen noch domineren,
Want Princen en Grauen //
Die rijden en drauen //
Deur ghiften en gauen,
Als knechten en slauen //
Voor ons al inden strijdt //
Wy hopen die Renten // 
Van onse Conuenten,
t'ontfangen in corter tijdt.",,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
187,_aem001aems01_0105,1589,1589.0,1000025,4444242,mmmmmmm,ABABCDC,4A 4B 4A 4B 2C 4D 2C,.4A   .4B   .4A   .4B   .2C   .4D   .2C,"verhalend lied, wereldlijk
dialooglied, wereldlijk
wachterlied",8,7,"Rijck God verleent ons auontuer,
Sprack daer een frisch ionglinck
dat ic mach comen binnen der muer
Daer woont die alder liefste mijn
Rijck God gheeft raet, 
De wachter en is mijn vriende niet,
Dit dunckt my quaet.

Die Jongvrouw niet zo vast en sliep,
Zy hadde verhoort den ionglinck,
Zeer haestelick zy ter venster liep
Zy bant een coordeken aenden rinck
Daer na niet lanck, 
doen zy dat coordeken dalen liet //
Den rinck die clanck

Die wachter niet so vast en sliep,
Hy hadde verhoort dat rincx gheluyt
Seer haestelick hy ter tinnen liep,
Hy stack zijn hooft ter venster wt
Hy sprack wie is daer, 
die Jonghelinck neder ter aerden viel,
Van groter vaer.

Die ioncvrou sprac mit zinnen verstoort
Wat isset Wachter dat v deert
Het zijn mijn vensteren die ghy hoort
die herren die zijn droghe onghesmeert
Maeckt my niet gram, 
Ick sie al nae den lichten dach,
Als oft hy yet quaem

De Jongelinck sprac och wachter goet
Wilt ons niet melden door v deucht
Daer mocht of comen groot onmoet
Wat schadet dat wy twee zijn verheucht,
Hy sprack ick sal, 
Nu gaet al daert de liefste begeert //
Maeckt gheen gheschal.

Al inden rinck sette hy zinen voet,
Ghelijck hy dickwils hadde ghedaen
Hy haelde hem metter spoet
Seer vriendelick was hy daer ontfaen,
In corter stont // 
Sy custe hem meer dan duysent weruen,
Aen zinen Mont.

Och willecome me seyde sy soete Lieff
My en quaem mijn dagen noyt lieuer gast
Nu laet ons met ghenoechte zijn,
Wy willen gaen drincken den coelen wijn
Wy worden ghewacht, 
Die Wachter sal zijnen horen blasen,
Als comt den dach.

Een corte wyle en was daer niet lanck,
Die Wachter sanck zijn daghe liet
In zynen armen dat hyse nam,
Het scheyden was hem een groot verdriet
Och leyder dach // 
Ghy doet my vander Liefste scheyden,
Die ick oyt sach.",Rijke God verleen ons avontuur,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
191,_aem001aems01_0109,1589,1589.0,1000025,2333233322232223,mmmvmmmvmmmmmmmm,AAAbAAAbCCCDCCCD,2A 3A 3A 3b 2A 3A 3A 3b 2C 2C 2C 3D 2C 2C 2C 3D,.2A   .3A   .3A   .3b   .2A   .3A   .3A   .3b   .2C   .2C   2C   .3D   .2C   .2C   .2C   .3D,"meilied
liefdeslied",4,16,"Schoon lief playsant,
Dit nieuwe liet ontfangt
in liefden triumphant,
Sal ick v dienaer wesen 
Door Venus brant
Ontgaet my het verstant,
Ontbint mijn desen bant
Ghy muecht my ghenesen
mijn druck versacht, 
Ghy hebt die macht, 
Door liefden cracht
Schoon Lief daer ick na bey,
Slaet op my acht
Verhoort toch mijn gheclacht
Daer ick nae wacht,
In dese coele Mey.

Waert ghy eens vroet, 
Wat pijn ick lijden moet
Ghy sijt diet my doet // 
Nochtans ick v beminne //
Mijn Lijf, mijn Goet,
 Ja oock mijn t'sherten bloet // 
Is voor v Liefken soet // 
Hoe wel ick niet en winne
Maer voelde ghy 
eens wat ick ly, 
Soo waer ick vry // 
Van alle druck in desen contrey //
Dan souden my, 
Die fantasy, 
heel maecken bly
In desen toecomende Mey.

Schoon Lief minioot // 
Ick sal ontdecken bloot //
Mijn lijden swaer als loot, 
Ghy muecht my verblijden //
Troost my tis noot // 
Mijn smart en pijn is groot
Leuendich ben ick doot, 
Ick sterft tallen tijden // 
Want doen wy yet, 
Het wert bespiet // 
Al eer dattet gheschiet
Door nyders ingheuen, 
Doet toch te niet, 
Dit swaer verdriet //
Welck ghy al aen mijn siet //
In desen toecomende Mey.

Hoort en verstaet // 
Princesse delicaet,
Oft v ter herten ghaet,
Dat ghy my dus laet wachten,
Niet en versmaet // 
V dienaer vroech ofte laedt //
Het is uwen eyghen baet,
Ghy muecht mijn druck versachten
Segt niet meer neen // 
Maer ia alleen,
Maeckt van ons tween // 
Een paer in dit gheschraey //
alle gheween
Sal hem ontspreen, 
Van ons also ic meen
In dese toecomende Mey.",Schoon lief plezant,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
192,_aem001aems01_0110,1589,1589.0,1000025,43343333444,vmmvmmmvvvm,aBBaBBBcccB,4a 3B 3B 4a 3B 3B 3B 3c 4c 4c 4B,.4a   .3B=+ .3B=  .4a   .3B/+ .3B/  .3B + .3c   .4c*  .4c*  4B,liefdeslied,2,8,"Schoon lief ghi sijt mijn troost alleyne
Vercoren bouen al // Vercoren bouen al
Ghy spijst Lijf ende Ziel ghemeyne,
Hier in dit aertsche dal // Hier in dit aertsche dal
Des nyders geschal, met haer lose treken,
Sy beletten my mijn lief te spreken
sy beletten my mijn lief te spreecken,
Dwelck ick my wel beclaghen sal.

Schoon Lief wat sout my mogen baten
Ter werelt menich pont // Ter werelt menich pont
En ick v dan sou moghen laten,
So waer ick gans deurwont, So waer ick gans deurwont,
In v liefs roder mont, en is noyt bedroch beuonden //
Dwelck ick v liefken wil oorconden //
Dwelck ick v liefken wil oorconden //
Want ghy schoon lief die alderliefste zijt.",Schoon lief gij zijt prijs waard alleen,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
203,_aem001aems01_0121,1589,1589.0,1000025,2233332233332221222122322322,mmvvmmmmvvmmvvvmvvvmmmvmmvvv,AAbbCCAAbbCCddeFddeFGGhGGhhh,2A 2A 3b 3b 3C 3C 2A 2A 3b 3b 3C 3C 2d 2d 2e 1F 2d 2d 2e 1F 2G 2G 3h 2G 2G 3h 2h 2h,2A +  2A    3b    3b   .3C   .3C    2A +  2A    3b    3b   3C   .3C   .2d + .2d   .2e +  1F   .2d + .2d   .2e +  1F    2G +  2G    3h    2G +  2G    3h   .2h + .2h,meilied,4,19,"Wilt nv al // Groot en smal // 
Den Mey helpen stichten,
Want Auroras lichten // 
Zijn nu an tfirmament,
Van ons heel vroech bekent,
Comt int dal, Met geschal //
Aenschout Phoebus schichten,
Vulcanus moet swichten // 
Die was ons assistent //
In den Winter absent // 
Wech Mars dienaren // De noch beswaren, 
Ons vreucht alsomen ziet //
Neptunus baren // Boreas scharen,
Maect nv qua stromen // niet, 
Want haer cracht // is versacht
Siet Saturnus bouwen
Die haer macht // niet en acht
Doet Ceres ontfouwen
Deur smeys bedouwen // Meucht ghy anschouwen.

Men siet daer // openbaer // 
Venus residenci
Pallas deur sienci // 
Geeft reden te verstaen
Voor menich cortisaen
Flora claer // De doet haer // 
bloemkens assistenci,
Bewijst reuerenci // 
Mercurius verslaen
Retoricas vermaen
Dianas dieren // Schoon met manieren
Sietmen versellen, by
Haer hoofden chieren // Met lauwerieren
Luna opstellen, vry
Pan om hoen // Gaet in tgroen
Lammerkens versaden
Om te voen // Gaet hem spoen
Ter velden ontladen
Seer groen van bladen // Al deur smeys daden.

Gaet ten troon // hoort ydoon // 
De Nimphen verheuen,
Vreucht wert daer bedreuen // 
Deur Cupidos verstant,
Van Apollo playsant,
Eenen schoon // Lauwer croon // 
Wert hem daer gegeuen,
Dus sit hy beneuen // 
By Venus eligant //
Als een Godt triumphant,
Musicas keelen // Hoortmen daer quelen,
En accorderen // zoet //
Harpen en Veelen, Lieflicke spelen //
Den Mey ter eeren // goet
Noch tgheluyt // Van tgemuyt //
t'Gevogelt ghedoken,
Alle cruyt // Oock ontspruyt
Lieflick van roken
Noch staet ontloocken // Den Mey voorsproken.

Metter daet delicaet // 
Meucht ghi princen mercken,
Deur des Musels wercker, 
Sijn alle dese goon //
By haer Fonteyn gewoon //
Nu ontslaet // Sonder haet // 
Jupiter zijn // Vlercken //
Soo dat Bachus Clercken // 
By Venus zijn ontboon,
Deur Copido haer Soon //
De deur zijn stralen // Plutos doet dalen //
Deur cracht der minnen, groot //
Lieffelick talen // Gaet hy verhalen //
Om te verwinnen, bloot
Dat niet deucht // Wert gheneucht
Hymenius blaecken,
En deur vreucht met ghenuecht
Gaet Momus versaecken
Die doch moet laecken // Des Meys ontwaecken.",Passamezzo Cicili,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
2505,bred001groo01_0054,1622,1622.0,1000653,111132232322311113311113,vmvmmmmmmmmmmvmvmmmvmvmm,aBaBCDDCEEFFEgHgHEIjKjKI,1a 1B 1a 1B 3C 2D 2D 3C 2E 3E 2F 2F 3E 1g 1H 1g 1H 3E 3I 1j 1K 1j 1K 3I,.1a +  1B + .1a +  1B   .3C   .2D + .2D   .3C   .2E + .3E   2F + .2F    3E   .1g +  1H + .1g +  1H   .3E   .3I   .1j + 1K 1j + 1K 3I,"liefdeslied
klaaglied",5,13,"Myn sinnen // siet // die minnen // hiet,
U overschoone Maacht,
Met liefde vast // als een trouw gast,
Die reyne liefde draacht.
U klaer aenschijn // verheuchtet harte mijn
Als u klaarheyt // inder waerheyt
By my slech mach sijn.
Droefheede // vlucht, de wreede // sucht,
Met al 't verdriet en pijn
Tot niet ist haest ghebracht
Myn rouwe // snoot, 
o vrouwe // groot,
Als ghy my maer toelacht.

Ick b'nijd // en haet, met spijd // en smaat,
Dat ghy soo bent verkuyst
Met die gesel // ghy kent hem wel,
Die t'uwent dickwils ruyst
Als ick by u wil gaen // sie ick hem by u staen,
Ick gae weder // op en neder,
Swaermoedich belaen,
Mijn yver // klaacht, die styver // jaacht,
En port het hart vast aen
Dat willend' niet en mach,
Door teghenheyt, 
gheleghentheyt
Verwacht ick nacht en dach.

Doch selden // tijt // oft quelt // en spijt,
My staach in myn ghemoet
Dat ghy hier lijdt // of wert ghevrijdt,
Van sulcken slechten bloet,
Wiens roem is syn gheslacht // en is selfs niet geacht,
Van ellick // een // het wellick // gheen,
Kennis geeft de macht.
De luyden // nu // sien huyden // nu
Al nae de weytse dracht,
Doch is sy best bewaart
Die mercken // set // 
op wercken // let,
En op goe geest en aart.

Verkoren // schat // te vooren // hadt
Ghedocht en dan de daat,
Wel voor u siet // alst is gheschiet //
Berouwt het meest te laet,
Al raed' ick u hier toe // ghy meucht wel segghen hoe,
Dus beladen // met myn schaden,
Raackt u wat ick doe?
Dan waarde // maacht // die d' aarde draacht,
Duyt myn goe sorch in t' goe,
U welvaert ick besin,
Kend' u letten doch, 
Annetta, och
Dat ick u dus bemin?

U waerdigheyt en aardigheyt
Heb ick noyt eer ghedaen,
Als 't wel betaamt, dies ick beschaamt
Voor u altijt sal staen.
Ick heb u, lief, gelaeckt, en ben selfs niet volmaeckt,
Ick soud' wel laten, had sijn praten
My eerst niet gheraeckt,
O braven dier, 't begraven vier
Na u begheeren haackt
En siet niet na de konst,
Lief, ick ten deele, 
my beveele
In goede jonst.",Zoet roosje rood,Amsterdam,../../data/dbnl/bred001groo01_01.xml
3155,stri015chao01_0068,1643,1643.0,1000670,44441134134,vmvmmmmmmmm,aBaBCCDDCDD,4a 4B 4a 4B 1C 1C 3D 4D 1C 3D 4D,4a    4B    4a    4B   .1C + .1C=   3D/   4D   .1C=+  3D/ 4D,liefdeslied,5,9,"ALyda, als mijn gedachjes
Spelen op u aerdigheen,
Weet het soetste van mijn krachjes
Smelt, en vloeyt door al mijn leen
O schoon, Ha Goon!
Heeft Natuer wel oyt
Soo een Maeght in als voltoyt,
Ha Goon, heeft Natuer wel oyt
Soo haer milde gonst gestroyt.

Sien ick Alyda u Oogjes
Die soo soet en lodder staen,
O verschaut met ronde booghjes
Yder als een halve Maen,
'k Verblindt. En vint
Sulcken aerdigheyt,
Die daer in beschaduwt leyt;
En vint Suclken aerdigheyt,
Ja den Hemel daer bereydt.

't Schynt u Kaeckjes Oorlog voeren
Tegen uwen roose-mont,
Om de Bloosjes af te loeren
Die haer Lipjens zijn gejont,
En 't wit, Tgeen sit
Op het silver-vel
Ick by 't blanck Albaster stel,
Tgeen sit Op het silver-vel
Evenaert met Venus wel.

Laet Jupijn vry domineren
In gedaente van een Swaen.
En met Leda schoon boeleren,
En Euroop' ontschaken gaen
Wt lust. soo rust
Noch mijn hart, en sin
Op mijn soete Engelin,
Soo rust Noch mijn hart, en sin
Op die geen die ick bemin.

Waren dees soo schoon van Leden
Als wy waren moeder-naeckt,
'k Meen mijn Liefjes poeselheden
Dienen niet te zijn gelaeckt,
Want 't moet Soo soet
Zijn als 't aen-gesicht
't Geen de Son, en Maen verlicht.
Soo soet Is haer aengesicht,
Dat het Mensch en Goon verplicht.",Hei hoe helder schijnt het maantje,Dordrecht,../../data/dbnl/stri015chao01_01.xml
