recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
78,_ams008amst01_0073,1643,1643.0,1000604,3522411112224,mmmmmvvmmmmmm,AABBBccDDDEEE,3A 5A 2B 2B 4B 1c 1c 1D 1D 2D 2E 2E 4E,.3A   .5A   .2B   .2B   .4B   .1c   .1c   .1D   .1D   .2D   2E   .2E   .4E,"loflied
liefdeslied",3,13,"DEucht yverende Maagt,
Wiens schoonheyt, de faam ten, blaauw gewelfsel draagt,
Roem-waarde Son,
Soo ik u kon,
Ten Hemel heffen ik begon,
Doch leyend',
En vleyend'
Mijn sin,
Goddin,
Ik nergens vin,
Genoegsaam stof;
Doch met verlof,
Door snuffel ik u schoonheyts hof.

Cornelia 't gegluur,
Vws oogjes vol soet gestraal en Hemel-vuur,
Praalt of de Son,
Sijn kruyn begon,
Te steecken uyt Neptuns bron
V oogjes,
Met boogjes,
Beset,
Juyst net,
Als of se met,
Apelles hant,
Waaren geplant
Cieren als 't Gout den Diamant.

4   Gy sticht in u gemoet
Een Tempel: voor d' Hemel-prins met al sijn stoet:
Alwaar de reen,
Voor an komt treen,
Als vaader vande goede seen:
V leden,
Besneden,
En net,
Omset
Met poeslig vet,
V geestigheyt
ô Soete meyt,
Toont dat gy geen boerin en sijt.",La Vignonne,Amsterdam,../../data/dbnl/_ams008amst01_01.xml
85,_aem001aems01_0003,1589,1589.0,1000025,44444343,mmmmmvmv,ABABBcBc,4A 4B 4A 4B 4B 3c 4B 3c,.4A   .4B   .4A   .4B   .4B   .3c   .4B   .3c,liefdesklacht,7,8,"Alle mijn gepeys doet my so wee,
Wie so sal ic clagen mijn verdriet
De liefste en acht my niet meer
Eylacen wat is my geschiet
Ick mach wel segghen het is al om niet
Dat ick aldus labuere
Dies wil ic singen een vrolijck liet,
Verlanghen ghy doet my trueren.

Moet ic deruen die liefste mijn,
Soo moet ick trueren tot inder doot,
Haer eerbaer wesen, haer claer aenschijn,
Dat brengt my nu in lijden groot,
Helpt my schoon lief wt deser noot
En wilt daer my niet in laten.
Wat ick vermach schoon Rose root.
Dat compt v al te baten

Die goede ghestadighe minne draecht
Ende daer by wert bedroghen,
Voor Gode moet dat zijn gheclaecht,
Met twee bewenende Ooghen
Men mach wel segghen tis groote pijn
Diet minnen niet en can ghelaten
Nochtans comt hem al inden armen zijn,
Zijn Lief tot zijnder baten.

Gaef zy my nu een troostelijck woort,
So waer mijn treuren al ghedaen
Maer lacen neen zy noch gheen confoort,
En can ick van die alderliefste ontfaen,
Dat sal my costen menighen traen
Mach ic genen troost van haer verweruen
Schoon lief wilt my in staden staen
Van rou so moet ick anders steruen.

Dat goede ghestadighe minnaers zijn,
Wacht u van quade tongen,
Sy zijn veel arger dan fenijn
Dan quade slangen jongen,
Want daer dese nyders zijn versaemt
Sy en connen niet ghedoghen.
Al en doetmen anders niet dant wel betaemt,
Sy aensient met valsche Oogen.

Dese nyders zijn arger dan fenijn
Dese quade valsche clappers tonghen
Als zy vreucht aen sien dat doet hen pijn,
Sy hebben haest ghesonghen,
Ick mach wel segghen met droeuen schijn
Ende claghen bouen maten.
Daerom so treurt dat Harte mijn,
Der nyders valscher daden.

Dit is ghedaen om druck verslaen
Met cleynder conste so ist begonnen,
Ja dit vermaen, wilt wel verstaen.
Dit wil ick die minnaers jonnen
Planteyt van Ghelt in zijn ghewelt
Zijn Lief tot zijnder eruen
Vry onghequelt, zijn vreucht versmelt
Die liefste moet ik deruen.",Al mijn gepeins doet mij zo wee,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
88,_aem001aems01_0006,1589,1589.0,1000025,335335443,vvmvvmmmm,aaBaaBBBB,3a 3a 5B 3a 3a 5B 4B 4B 3B,.3a   .3a   .5B   .3a   .3a   .5B   .4B   .4B   .3B,liefdeslied,6,10,"",Moet ik altijd treuren,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
90,_aem001aems01_0008,1589,1589.0,1000025,225225222222225,mmvmmvmmvmmvmmv,AAbAAbCCbCCbAAb,2A 2A 5b 2A 2A 5b 2C 2C 2b 2C 2C 2b 2A 2A 5b,.2A=  .2A/  .5b*  .2A   .2A   .5b   .2C   .2C   .2b   .2C   2C   .2b   .2A=  .2A/  .5b*,liefdeslied,4,9,"Als ick aenschou, die schone waerde vrou,
So is mijn Jonger hart ghenesen,
Al mijnen rouw, acht ick als dou
Hoe sou ick soete liefken vrolick moghen wesen,
Sy heeft een Gheest, die mijn gheneest,
Reyn wt ghelesen,
Geen schoonder geweest, bouen al gepresen
Als ic aenschou, die schone waerde Vrou
So is mijn ionger hart ghenesen ge.

Haer roder mont, heeft my deurwont
Deurschoten heeftse my met venus stralen
Haer borstkens ront, doen my terstont
Ghenesen al mijn bitter qualen,
Haer oochskens claer., doen mijn voorwaer
Mijn lijken smale, Het wesen van haer,
Minnelick eerbaer, haer soeter talen
Haer roder mont, heeft mijn deurwont
Deurschoten heeftse my met Venus stralen

Als ick mach zijn, schoon Lief by dijn
so mach mijn waerde Liefken, niet ontbreken
Al is het fenijn, des nyders pijn,
Die quaet van amoreuse minnen spreken
Gheloofse niet, maer doch aensiet, Mijn smeecken
Al waer v gheschiet,
Druc lijden in verdriet, der nyders treken,
Als ick mach zijn, schoon Lief by dijn
so mach mijn waerde Liefken, niet ontbreken

Princesse fier Reyn balsonier
Ghy spant die croon al in mijn Hart van binnen,
Schoon Egelentier, v prisonier,
Ic bid v laet mijn doch troost gewinnen,
Gheeft mijn bescheet, al vant secreet, der minnen,
Ghebeurden v leet, als ghy wel weet,
Ick sout ontsinnen,
Princesse fier, Reyn balsonier,
Ghy spant die Croon al in mijn Hart van binnen,",,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
102,_aem001aems01_0020,1589,1589.0,1000025,43433333,mvmvmmvv,AbAbCCdd,4A 3b 4A 3b 3C 3C 3d 3d,.4A   .3b   .4A   .3b   .3C   .3C   .3d   .3d,"meilied
liefdeslied",6,8,"Die lustelicke Mey is nu inden tijt,
Met zijnen groenen bladen,
Int lieflic anschouwen ghy die venus dienaers zijt
Men mach v niet versaden,
Want by des meys virtuyt
Menich cleyn voghelken ruyt,
Sijn sanck is soet om te hooren,
Dies willen wy vruecht oorboren.

Bedrijft solaes ghenuecht ende vruecht
Die bloemkens staen ontloken
Comt met v Liefken buyten des veldes iuecht
Die cruyden staen zeer soet van roken
Sy staen net ende reyn
In t'soete lustelijcke pleyn,
Daer sietmense ieuchdelijck bloeyen,
Door des soete Meys douws bespoeyen

Die Nachtegael singt nacht ende dach
Met menich dierken cleyne
Want ghy die Venus doet ghewach
Vint v ten veldeken reyne,
Ende wilt ons comen by
O weerde Lieveken ende ghy,
En acht gheen nijders bespringhen,
Ende helpt ons de Mey in bringhen.

O Venus had ick mijn Liefken alleyn
Het zoude mijnder herten lusten,
Ende wy tsamen lagen op een beddeken cleyn
Daer ick by haer mochte rusten,
Ende wy daer speelden moeder naeckt
Alsinen de barvoete kinderkens maeckt,
So soude ick mijn Liefken ghebruycken
Ende in mijn armkens luycken.

Amoreuse lieuekens zijn hier vergaert,
Tis een melodye,
Als deen ghesichte dander verclaert,
Schout alle melancolie,
Haer kaecxkens sijn van coluere root,
Ende hoe menich versuchten groot,
Gheeft elck zijn Liefken int wesen:
Een soenken van v schoon lief, salt al genesen

Oorlof princesse, Liefken Amoreus,
Nu bid ick v om een bede,
Neemt desen Mey in danck zeer coragues
Ende bewaert hem na reyner sede,
Toont ons v ghetrouwe ionste fier,
Al onder desen soeten Eglentier
Wilt wt den slape ontspringhen
Ende helpt ons vrolick singhen.",De lustelijke mei is nu in de tijd,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
103,_aem001aems01_0021,1589,1589.0,1000025,43433,mvmvm,AbCbA,4A 3b 4C 3b 3A,.4A   .3b   .4C   .3b   .3A,"verhalend lied, wereldlijk",12,5,"Des hadde een swaue een dochterlijn,
Sy en woude niet langer dienen,
Rock en mantel woudese haen,
Twe schoenen met smalen riemen
Schoon isser mijn Elselyn.

En wildy Rock en mantel haen,
Twe schoenen met smalen riemen
So ghaet te Ausburch inde stadt
En grote Heeren dienen,
Schoon isser mijn Elselijn.

Doe zy Tausburch binnen quam,
Al op die enghe straten
Sy vraechde na den besten wijn
Daer Ruyter ende knechten saten,
Schoon isser mijn Elselyn.

Ende doe zy opter stouen quam,
Men bracht haer eens te drincken,
Zy liet haer ooghen omme ghaen
Den beker liet zy schincken
Schoon isser mijn Elselijn.

Sy namen die teerling inde hant
Men beghon daer te spelen
Die daer die meeste ooghen worp,
Sliep by der schoonder vrouwen
Schoon isser mijn Elselijn.

Hy nam schoon Elselyn byder hant
By haer snewitser handen
Hy leydese daer hy een beddelyn vant,
Dat groene wout ten eynde
Schoon isser mijn Elzelyn.

Hy sette haer neder op die banck
Sy en dede niet dan weynen
Noch heb ick stoute broeders drie
Een rijcken vader ter heymen,
Schoon isser mijn Elselyn.

Dats hebdy stoute Broeders drie
Een rijcken vader ter heymen
So muechdy dit Jaer een hoerken zijn,
Hoe bleefdy niet ter heymen,
Schoon isser mijn Elselijn.

Maer doen zy opter gassen trat
Bekende haer huer Broeder.
Och Suster sprack hy Suster mijn,
Hoe is de reyse vergangen,
Schoon isser mijn Elselijn.

Och suster sprack hy Suster mijn,
Hoe is die reyse verghangen
Dat uwen rock voor is so kort,
Ende achter veel te langhe
Schoon isser mijn Elselijn.

Broeder sprack zy broeder mijn,
Dat reetste aen mijn ere
Hadde my dat een anderen ghedaen,
Hy zoudet weder keren.
Schoon isser mijn Elselyn.

Die ons dit Liedeken eerstmael sanck
Hy geerne ghesanghen
Een vroom Lansknecht is hy ghenaemt,
Tausburch al binnen der stede
Schoon isser mijn Elselyn.",,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
136,_aem001aems01_0054,1589,1589.0,1000025,33333333,vmvmvmvm,aBaBcDcD,3a 3B 3a 3B 3c 3D 3c 3D,.3a   .3B   .3a   .3B   .3c   .3D   .3c   .3D,"morgenlied
meilied, wereldlijk
liefdeslied",5,8,"Die winter is ons verghanghen
En ick sie des Meys virtuyt
Ick sie die loueren hanghen
En die bloemkens die spruyten daer wt,
Also veer aen ghene groenen dale
Daer is het so ghenoechlijcke zijn,
Daer singt die fiere Nachtegale
Met so menich cleyn wilt voghelkijn.

Wy willen die Mey gaen houwen
Hier buyten int groene wout,
En schencken mijn soete lief mijn trouwe,
Die mijn herteken bevangen hout
En vragen of zy wilden comen
Voor haer cleyn veynster staen,
Ontfangen de Mey met haren boemen,
Want zy is so schoon ghedaen.

Legdy nv en slaept schoon lief,
En waerom en waeckt ghy niet
Ick stae hier voor v duerken
En ick lijder also swaren verdriet
En ick stae hier voor v duerken
En ick lijder also groten pijn,
Staet op mijn alderliefste
En spreeckt een woort teghens mijn

Doe die suyuerlijcke
Dat claghen aen hadde ghehoort,
Sy stont op haestelijcke
En met een sprack zy een woort
En hy namse al in zijn armen,
Met groter eerwaerdicheyt
Hy custense voor haer mondelijn was root
En zy namt oock al in danckbaerheyt.

O doot zeyde vermaledijde doot
Waer toe zijt ghy ghemaeckt
Ghy staet hier voor mijn ooghen
Die also bitterlijcke smaeckt
En ghy staet hier voor mijn ooghen
Recht teghen neuens mijn
Ick sie den licht en dach op dringhen
En mijn soete Liefs claer aenschijn,",De winter is vergangen,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
143,_aem001aems01_0061,1589,1589.0,1000025,33333323,vmvmvvmm,aBaBccDD,3a 3B 3a 3B 3c 3c 2D 3D,.3a   .3B   .3a   .3B   .3c   .3c   .2D   .3D,"liefdeslied
meilied",4,8,"Al arm, al arm al arme
Vrou Venus Trom die gaet
Nu salse ons wel ontferme
Sa vryers wt om baet
Al liep ghy an bey v benen
Te winter blaeuwe schenen
Coemt dy malcaer
En kiest nu weer een aer

Coemt oock wat met ons couten
Hier buyten int ghelach
Al die zijt op ghesouten
Op vastelauonts dach
De vasten is gaen sluyten
Die Mey die roept ons buyten
Daer loof dat wast
Daer nootse ons op te gast.

Sy geeft niet veel te schransen
Van alderhande fruyt
Maer fraye Roose cransen
Van bloemen en van cruyt
Met veel wellustich quelen
Van alle vogels kelen
Vreucht en iolijt
heeft nv zijn rechte tijt.

Al dese dingen waerdich
Verblijen therte seer
Maer een Princesgen aerdich
Verblijt mijn noch veel meer
Als haer bruyn oochgens wincken
En soete woortgens clincken
Lieflijck en fray
Dan isset altijt May.",Mocht ik geluk verwerven,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
155,_aem001aems01_0073,1589,1589.0,1000025,22222222444444122,mmmvmmmvmmvmmmmmv,AAAbAAAbCCdCCCCCd,2A 2A 2A 2b 2A 2A 2A 2b 4C 4C 4d 4C 4C 4C 1C 2C 2d,.2A + .2A   .2A + .2b   .2A + .2A   .2A + .2b   .4C   .4C   4d   .4C   .4C   .4C + .1C   .2C + .2d,liefdesklacht,3,11,"Ick ben deurwont // Heel onghesont
Tot inden gront // Met Venus stralen
Ick maeckts v cont // In corter stont,
Haer roder mont // doet my dit verhalen
Mach ick geen troost van v ontfaen
So is mijn vreuchden alghedaen
Ick roep, o doodt, wilt my deur keruen,
Met swaer verdriet ben ick bevaen,
Wilt ghy mijn niet ter noot bystaen
dat ghi eens ziet op mijn vermaen, seer saen
Door liefden plaen, So moet ick steruen.

Wat zijt ghy ghebaet//schoone sieraet
Dat ic den Prelaet // sal moeten blijuen
Mijn doch ontfaet // eer tis te laet
Wilt niet niet obstinaet verstijuen
Ick hadts noyt op v bertrout
Dat ghy mijn dus verlaten sout
Ic meende vreucht te verweruen,
Nu compt mijn tlijden menichfout
Dat mijn tlijden den Gheest verrout
Ic moet vermijden voor ionck en out, verstout
Al dat mijn rout // dat ick moet steruen.

Princesse fier // al ben ick hier
Van v dus schier // doorsteken
Met swaer dangier // en druck bestier
Reyn balsonier // segt v ghebreecken
Waerom ghy my dat lijden aendoet
Ick min v bouen ghout ofte ghoet
Mocht ick eens vreucht van v eruen
Al ist mijn swaer dit teghenspoet,
Berooft dat waer mijn lijdens spoet
schoon lief erbaer verheugen moet, mijn groet
Met woorden soet // eer ick moet steruen.",,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
169,_aem001aems01_0087,1589,1589.0,1000025,343433334,vmvmvmmvm,aBaBcDDcD,3a 4B 3a 4B 3c 3D 3D 3c 4D,.3a   .4B   .3a   .4B   .3c   .3D=  .3D=  .3c   .4D,liefdesklacht,5,9,"Mijn sinnekens zijn my doort toghen
Van een so schoonen Jonckvrou fijn
Sy doet my pijne dooghen,
Sy is die alderliefste mijn
Om haer so wil ick waghen,
Mijn Lijf ende al mijn ghoet
Mijn Lijf ende al mijn ghoet,
Ende laten vrienden en maghen
Ende schencken haer mijns hartsen bloet.

Die Liefste mach ick wel schryuen
Door v Vrouwelick beelde schoon
Want bouen alle Wijuen,
Spant zy int harte der minnen croon
Sy staet in mijn behaghen,
Op haer so rust mijn moet
Op haer so rust mijn moet
Dus wil ick haer mijn liefde draghen
Ende schencken haer mijns hartsen bloet.

Twijfel gheeft my veel nopen
Angst ende suchten is my by
Nae haer staet alle mijn hopen,
Des ick moet zijn van Harten bly
Mijn sinnekens nae haer iaghen
Die my dick suchte doet,
Die my dick suchte doet,
Al soude my druck noch plaghen
Ic moet haer schencken mijns hartsen bloet.

Venus v strael van Minnen
Heeft mijn Harte so seer doorwont
Ick blijue ghequetst van binnen,
Doort deruen mijns liefkens roder mont,
Nv en tot allen daghen,
Wort zy van my ghegroet,
Wort zy van my ghegroet,
Om haer so moet ick claghen
En schencken haer mijns hartsen bloet.

Princesse melodieuse,
Schenckt uwen dienaer Medecijn
Bouen alle schoon amoreuse,
Suldy int harte die liefste zijn
Al legghen die nyders laghen,
Hout my in v behoet
Hout my in v behoet,
Ende wilt my niet verjaghen
Ick sal v schencken mijns hartsen bloet.",Mijn zinnetjes zijn mij doortogen,Amsterdam,../../data/dbnl/_aem001aems01_01.xml
