recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
1606,_ant001antw01_0010,1544,1544.0,1000000,4423,mmmv,AABc,4A 4A 2B 3c,.4A    4A   .2B   .3c,"verhalend lied, wereldlijk
liefdesklacht",7,4,"ARghe winter ghy zijt cout.
Vergangen is ons tgroene wout.
Vergangen zijn ons die
louerkens aender heiden

Die loouerkens die aender heyden staen
daer op singt die nachtegale |
Van minnen singhet ons 
Die fiere nachtegale

Tsauonts als ick slapen gae
Vinde ic mijn bed alleine staen
daer op so rust
die fiere nachtegale

Tsmorgens als ick op stae.
Ende ick mi wel gheciert hae
So coemt mijn lief
Ende biedt mi goeden morghen

Goede morghen so wil ick wel voorwaer
Ic seg vrou maecht bint op v hayr
Met roode gout
Ende met groene side

Si ginc voor ic volchde na
si brochte my daer een schaecbert na
In elcke hant
Twee dobbelsteenen

Si ley tsaecbert op tvelt
dye dobbelen wil die brenget gelt
Anders mach hi
Tsoheyme wel blijuen",Arge winter gij zijt koud,Antwerpen,../../data/dbnl/_ant001antw01_01.xml
1772,_ant001antw01_0176,1544,1544.0,1000000,6444444,mvmvmvv,AbAcAcc,6A 4b 4A 4c 4A 4c 4c,.6A   .4b    4A   .4c   .4A   .4c   .4c,"loflied, wereldlijk
bespiegelend lied, wereldlijk",9,7,"ALs ic aenmercke al dat de werelt hout | beuaen
So gaet die landtman verre te bouen
So my dunct naer mijn verstaen
Hy is seer duechdelijc van zeden
Dus moet hi prijs van mi ontfaen
Want nacien  landen  sloten  steden
Voet hi met sine sweetighen leden

Den goeden lantman tot alder duecht verhit
So loyael diet wel ontknochte
Hi eert  hi delft hi haect hi spit
als menich edel man leit op zijn bedde sochte
Peynst of die lantman niet en wroechte
Wie soude ons dan met trooste lauen
Pausen  Coninghen  Princen  Grauen
Sullen si leuen hi moet beslauen

Den goeden lantman van groter werden
Elck doet hem coren ende groten bant
Die mollen comen wter aerden
Si en wachten hoeck middel noch cant
Si wroeten daert hen meest meshant
Blent zijnde makens gheen gheruchte
binnen der tijt dat die
				landtman saeyt of plant
so rouen coeyen  verkens  dit wil ic pluchten
ende eeten den landtman af zijn vruchten

Venus kinderen ic bens orconden
gaen buyten int doncker als een vedere
die eene valt bouen die ander valt onder
dus liggen si des landtmans coren ter nedere
natuere die werct  elc rect die leden sijn
Die landtman is des cost verbeyder
Nochtans moet hi van als te vreden sijn
Men soudt gepict hebben het moet gesneden
				zijn

Seyde ic anders ic soude lieghen
het pluct al aenden landtman dats
				claer besenen
Die voghelen die inden woude vlieghen
Moeten doch biden landtman leuen
Hanen  hinnen  al die daer aen cleuen
Doen haer beste  si scrapen si stecken
sulcke menige leest aren somtijts in plecken
Maer God weet of sise wten schonen trecken

Dus laet ons den goeden landtman te | vriene hebben
die voor ons slaeft met herten noyael
dan comen die papen dien willen
				thiende hebben
Dan compt die coster om zijn natael
die vier oorden maken een schoon verhael.
Als die van weldoen sijn verbeyders
Ick maecht wel weten principael
si en begheren  fruyt  sleeu  noch
				braembeyere
Si willen hebben ghelt  kaes  of eyere

Alst coren is in  tsi vroech of spade
So comen die ruyters of die quade
Segghen herwaert wi moeter eten
den landtman trect men moet wel weten.
Ter moelen wat baet dat ickt hele
Die molenaers hen niet en vergeten
Si nemen redelijcke vanden meele
Paeys is goet God weet hoe veele

Den armen landtman heeft menigen stoot.
Die woluen fel van cleynen gheruchte
Biten haer lieden beesten doot
Die vossen doen ooc also int pleghen
Al staet die menighe dit voor een cluyte
die wesels suypen die eyeren wte
den armen landtman heeftet al teghen

Dus laet ons gode bidden seere
dat hi den landtman in duechden stercken
Christus selue bewijst hem eere
soot daghelicx blijct inder kercken
het lichaem Gods hoe dat ict mercke
Comt vander terwe dats waerhede
Leyt den landtman niet te wercke
Ten bleue staende slot noch stede
God gheue den landtman paeys ende vrede
Ende dat eeuich leuen.",,Antwerpen,../../data/dbnl/_ant001antw01_01.xml
2085,bell009denl02_0050,1674,1674.0,1015621,3333333133,vmvmvvmmvm,aBaBccDDcD,3a 3B 3a 3B 3c 3c 3D 1D 3c 3D,3a    3B    3a    3B    3c    3c    3D   .1D 3c 3D,geestelijk lied,7,10,"JESU uwe soetheydt
Is tot ons soo groot,
Dat ghy uyt puer goetheydt
Stirft voor ons de doodt,
Daer g'ons kost behoeden
Met eenen drupt te bloeden,
Stort ghy eenen vloedt
 van Bloedt.
Siet syn Bloedt eens vloeden,
Siet wat Jesus doet.

Jesus wordt besneden
Hy voldoet ons boet,
Hy begint te treden
De Wyn-pers van Bloedt,
't Hofken is besproten,
d'Aerd'heeft syn Bloedt ghenoten
Als hy heeft door groot
en noot,
Bloedigh sweet vergoten
Uyt vrees van de doodt.

Siet de Wolven woeden
Op 't onnoosel Lam,
Sy slaen hem met Roeden
Die ons sond' af-nam,
Godt sit in de banden
Den Koningh staet te schande,
Hy sit op den Throon
 ten thoon,
Met een Riet in d'Handen,
En een Doorne-kroon.

Siet den Heer van allen
Die d'heel wereldt draeght,
Komt met 't Kruys te vallen
Hoe wordt Godt gheplaeght,
Hy lydt duysendt pranghen,
Hy wordt aen 't Kruys gehangen,
d'Ermen zyn ghereckt,
 ghestreckt,
Om ons te ontfanghen
't Hert van liefde breckt.

Tot de alder-lesten
Druppel van syn Bloedt,
Gheeft den Heer ten besten
Siet wat Jesus doet,
Siet eens d'Offerhande
Van Jesus liefde branden
't Schynt dat Godt verdoet
 syn Bloedt,
Hy mindt syn' vyanden,
Hy voldoet hun boet.

Ons schuldt is vergheven
Door uw' onschuldt, Heer
Uw' doodt is ons leven,
Uw' schand' is ons eer,
Uw' ghebonde handen
Ontbinden onse banden,
Uw' Gal en Azyn
 is wyn,
En uw offerande
Doet ons saligh zyn.

Door uw bitter lyden
Alder-soetsten Heer
Brenght ons in 't verblyden,
Mensch wat wildy meer?
Laet ons Godt dan minnen
Uyt heel ons hert en sinnen,
Want hy is soo soet
 en goet,
Om den prys te winnen
Van syn dierbaer Bloedt.",Que fais-tu roi de France,Brussel,../../data/dbnl/bell009denl02_01.xml
2135,bell009denl02_0011,1674,1674.0,1015621,33333333333,mmvmmvmmmmm,AAbCCbDEDEE,3A 3A 3b 3C 3C 3b 3D 3E 3D 3E 3E,.3A   .3A   .3b   .3C   .3C   .3b   .3D   .3E   .3D   .3E=  3E=,geestelijk lied,7,11,"EY lieven JESUS ey,
Waerom ghebiedy my,
Dat ick u sou beminnen,
Wildy ô lieven Godt
Door 't lieffelyck ghebodt,
Myn hert en liefde winnen?
Waerom dreyghdy de hel
Aen die u niet en mint?
Neemt wegh dit strengh bevel,
Dat tot geen min en dint.
Dat tot geen min en dint.

De liefde van het goet
Die doet uyt ons ghemoe
De vrees van 't quaet vertrecken?
Uw' liefden is soo soet
Sy kan myn teer ghemoet
Tot min ghenoegh verwecken.
Ghy zyt soo minnelyck,
Soo schoon, soo ryc, en goet,
Dat u een-ieghelyck
Van self beminnen moet.
Van self beminnen moet.

Gheheel het Aerde-ryck,
En dat schoon Hemel-ryck
Hebt ghy van niet gheschapen;
Ghesteenten, Silver, Gout,
En Perels menigh-fout
Die w'uyt de schelpen rapen,
Die stellen my ten thoon
Hoe machtigh, milt, en goet,
Hoe ryck, hoe eêl, en schoon
Den Schepper wesen moet.
Den Schepper wesen moet.

Komt hier ô gierigh Mensch
Die uwen hooghsten wensch
Stelt op het Goet des Wereldts,
Ghy die door-kruyst de Zee,
En soeckt met pyn, en weê
Gout, Silver ende Perels,
Maeckt dat g'u hooghste Go
Daer g'allen goet in vind
Uyt 't mergh van uw gemoe
En heel u hert bemindt.
En heel u hert bemindt.

Den Brack loopt op den geur
En volght den Haes op 't spet
En tracht den Haes te vanghen
Den geur van uwe min
Doet heel myn hert en sin.
Naer u ô Heer verlanghen,
Ghy zyt soo minnelyck,
Uw' liefde dringht my
Op dat ick vierighlyck
Naer u soud' jaghen gaen.
Naer u soud' jaghen gaen.

De Son die en ghebiedt,
Oft en verbiedt ons niet,
Dat wy haer sonden minnen,
Nochtans wanneêr sy daelt,
En 't Aerde-ryck bestraelt
Treckt sy ons hert en sinnen:
O Heer wat is 't van-nood'
Dat g'ons u liefd' in-plant,
Het vier steeckt in het Strood'
Het gaet van selfs in brandt.
Het gaet van selfs in brandt.

O Jesu wilde ghy
De Wereldts alle-by
In liefde doen verslenschen?
Thoont u soo minnelyck,
Soo soet, en vriendelyck
Als ghy zyt, aen de menschen,
Want die u niet en mindt,
Die u gheen liefd' en biedt
Is t'eenemael verblindt,
En hy en kent u niet.
En hy en kent u niet.",Ik heb menig pint en kan,Brussel,../../data/dbnl/bell009denl02_01.xml
2907,camp001stic01_0014,1624,1624.0,1000663,4444444444444444,vmvmvmvmvmvmvmvm,aBaBcDcDeFeFgHgH,4a 4B 4a 4B 4c 4D 4c 4D 4e 4F 4e 4F 4g 4H 4g 4H,4a 4B 4a 4B 4c 4D 4c 4D 4e 4F 4e 4F 4g 4H 4g 4H,,7,16,"VAn te strijden wil ick zingen,
zingen een aendachtigh Liedt:
Hoe de mensch, die wel wil strijden,
heeft te strijden, en hoe niet.
Al de Werelt is vol strijdens.
strijden is menigerhandt:
Strijden dijdt somtijdts tot eere;
strijden dient somtijdts tot schandt.
Menigh strijdt een dwaess'lijck strijden,
om 't gering, op 't ongewis:
Menigh strijdt een wijss'lijck strijden,
om 't geen strijdens waerdigh is.
Somtijdts strijdt de mensch een strijden
dat met Godes wille strijdt:
Somtijdts strijdt de mensch een strijden
daer den Hemel in verblijdt.

2  Christen mensche, wilt ghy strijden;
strijden, dat ghy overwint;
Overwint, dat ghy der kroonen
Kroon voor u bereydet vindt:
Zoo moet ghy verstaen en weten,
Waerom ghy den strijdt aengaet;
Wie uw Vyandt, welck het Wapen
daermen hem me'e wederstaet.
Die niet weet waerom hy strijdet,
volght niet recht zijn Capiteyn:
Die zijns vyandts niet is kundigh,
acht hem, tot zijn scha'e, te kleyn:
Die niet heeft waer me'e te strijden,
schoon hy al den strijdt niet vrucht,
Wordt in 't strijden licht verslagen,
off geraeckt stracks op de vlucht.

3  't Strijden dat ghy hebt te strijden
is om aerdtsche eer noch loff;
Is om geene werelts lusten,
vrienden, magen, huys noch hoff;
Is om niet Verganckelijcks.
het zy wat Weelde, Eer, off Schat:
Christenen zijn hier uytlanders,
zonder vaste erff of stadt.
Wie zal strijden om 't verwerven
van het geen hy niet en acht?
Wie kan vechten om 't behouden
van 't geen hy noch heef noch acht?
Wie wil krijgen om 't verkrijgen
van een ding 't welck, als hy 't heeft,
Groot gevaer van meerder schade,
met veel angst en zorgen, geeft?

4  't Strijden dat ghy hebt te strijden,
uwe Slagh dien ghy hier slaet,
Is niet met den zwacken Mensche,
die uyt vleysch en bloedt bestaet:
Is niet met den zwacken Mensche,
die, uyt stoff te saem gebracht
En genoodtschickt om te sterven,
kleyn en nietigh is van kracht:
Is niet met den zwacken Mensche,
die u (hier op aerden vreemt)
Als hy alles koomt ontnemen,
dan noch niets van 't uwe neemt:
Is niet met den zwacken Mensche,
die maer aen het lijff en tast,
En, wanneer hy koomt op 't hooghste,
't leven neemt, en u ontlast.

5  't Strijden dat ghy hebt te strijden,
en in Godt gestreden wordt,
Is met Stael noch eenigh wapen
daermen menschen bloedt me'e stort.
Wat behoeft hy 't Yz'ren harnas
die alzulcken Uyandt heeft
Welck', uyt vleysch noch bloedt bestaende,
't zienlijck lijff geen wonden geeft?
Waer toe zal hy 't Stael gebruycken
die al 's Werelts Schoon en Zoet
Niet zoo waerdt wil noch kan achten
als een druppel Menschen bloedt:
Als een druppel bloedt van Menschen:
dienmen altijdt goedt, voor quaedt;
Zegening, voor vloeck moet geven;
lieffde schuldigh is, voor haet.

6  't Strijden dat ghy hebt te strijden
is om 't eeuwigh Hemelsch Goedt,
't Goedt zoo zeer van hem benijdet
met wien ghy hier strijden moet:
't Is om Eer die van den waren
Eerder, Godt, wordt toe-geleyt;
Eer en loff, waer van de kroone
niet verdort in eeuwicheydt:
't Is om Rijckdom en om schatten
die noch roest noch mot en schendt:
En, bewaert in 't bovenst'
Boven, dieff noch roover ooyt ontwendt:
't Is om een de hooghste Wellust;
die steedts duert, en zoo verzaedt
Dat de lust om haer te proeven
nimmermeer nochtans vergaet.

7  Uwe Uyandt (sterck, ja stercker
dan al wat zich sterck beroemt;
Uorst en Godt van deze Werelt,
in Godts Woordt te recht genoemt)
Is een Geest. niet Een; maer menigh,
en van talleloos getal:
Die u ont-gaet, boven-zweeft,
en stevigh loert op dijnen val:
't Is Hy, die des vleyschs begeerten
en der zinnen eygen lust,
Door veel duyzendt listicheden
tegen u ten strijde rust:
't Is Hy, die de schalcke vonden
van zijn dienaers (hier en daer)
Weet te sturen, uwe Vyandt
is de gantsche Helsche schaer.",Frog's galliard,[Hoorn],../../data/dbnl/camp001stic01_01.xml
4608,stal001extr01_0031,1631,1631.0,1000716,32213322222222,vmmmvmmmmmmmmm,aBBCaCDDDEFFFE,3a 2B 2B 1C 3a 3C 2D 2D 2D 2E 2F 2F 2F 2E,.3a   .2B=  .2B=+ .1C   .3a   .3C   .2D*  .2D   .2D*  .2E   2F/  .2F   .2F/  .2E,,7,13,"DIe niet en willen dolen,
Maer zalig wil-
Maer zalig willen zijn, 
Die wachten zich te scholen
Met Luther of Calvijn,
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Ghy zijt (sprak vast beraden
Wel eer den zone Goods)
O Simon! door genade
Een onbewoge roots
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Op u zoo zal ik gronden
Mijn algemeene Kerk;
Daer Wereld, Hel, en Zonde
Voor ruimen zullen t’perk.
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Ik heb voor u gebeden
(Dus sterkt uw’ broeders weer)
Dat u geloof vertreden
Zal werden nimmermeer.
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Gaet dan en wild niet slapen
En weydtme breed en wijd
Mijn Lamm’ren en mijn schapen
Van nu tot alder tijd.
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Nu zal my niet ontbreken,
Den Heer ist die mijn hoed,
En zijn geloof noch preken
Door Petrus volger doed.
‘tIs Petrus stoel
Daer ‘t recht gevoel,
’t Is Petrus stoel
Daer Christus leydt
‘Is Christus koy,
Die vrij van proy
‘tIs Christus koy
Die Pe-trus weydt.

Gedankt, gelooft, gepresen
Sy uw’ genaed’ o Heer
Dat ghy mijn aengewezen
De School hebt van uw’ leer.
’t Is Petrus stoel. etc.",Beata immaculata,Leuven,../../data/dbnl/stal001extr01_01.xml
4688,stal001extr01_0111,1631,1631.0,1000716,33333311113,mmmmmmmmmmm,AABBCCDDDEE,3A 3A 3B 3B 3C 3C 1D 1D 1D 1E 3E,.3A   .3A   .3B   .3B   .3C   .3C   .1D + .1D   .1D + .1E   3E,,8,9,"LAet dan de Ketterij
Geen stand van leven vrij?
Of was ’t haer niet genoeg
Datz’ ons het reyn verjoeg
Ten waer dat haren haet
Ook schende d’ Echte-staet?
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

De eer van Sacrament,
Die Paulus  heeft erkendt
En met hem even sterk
De gansche Christen Kerk
Daer van ons geven blijk
d’Oudvaders all’ gelijk.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

O Echt! O heilig werk,
Verzaemt van Godes Kerk,
Geknocht van Priesters hand,
Gestijfft door offerand,
Van d’ Eng’len aengeboon
G’aenvaerd van d’hoogsten Throon.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

Den heil’gen Augustijn
Mondstopper van Calvijn,
Gaf ons het Sacrament
Des huw’lijks, tot belend
Van ’t Heydendomse juk.
En ’t Christelijk geluk.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

Dit tuygen even rond
Ambrosius, Guldemond
Siricius. en Cyril
En meer, die meerder wil,
Met wien ik mijn gevoel
Buig nae de Roomse stoel.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

’t Is zeker al te stout,
Een les zoo waer, zoo oud
t’Onkennen, op het woord
Van die door vleesch bekoord
De Goddelijkke schrift
Trok nae zijn eigen drift.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

Den snoden Apostaet
Alzoo hy ’t vuil gelaet
Met zijn ontkapte Non
Niet tomen wou, verzon
Een lering naeden eisch
Van zijn bedurve vleisch.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.

Verfoeyt dan, heilig Echt!
Den ongezonden knecht;
Die door zijn nieuwe wet,
Van uw’ Godvrezend bed,
Een Sacrament zoo groot,
Schoffierelijk verstoot.
O Heer geeft weer
De eer Aen ’t Echt
Die Luther ons bevecht.",Godin Venus schoon,Leuven,../../data/dbnl/stal001extr01_01.xml
4703,stal001extr01_0126,1631,1631.0,1000716,33332222,vmvmmmmm,aBaBCDCD,3a 3B 3a 3B 2C 2D 2C 2D,.3a   .3B   .3a   .3B   .2C   .2D   .2C   .2D,,7,8,"DE Goddelijke handen
En schiepen ons de dood
Noch vlammen om te branden
Noch zonde kleyn of groot
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

God schiep ons nae zijn wapen,
Met wesmen weet, of ziet.
En zonder hem geschapen
Niet anders is als niet.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

Het niet zeg ik der zonden.
Want daer en werd geen naem
Voort yd’le spook gevonden
Zoo eigen en bequaem.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

Almagtig is den Vader;
Zijn wil is ’t hoogste goed.
Maer ’t is de sno’e mis dader
Die ’t niet der zonden doed.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

God is de zaek der zaken,
End’ altijd even sterk.
Mids dien en kon hy maken
Ook noyt mis dadig werk.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

Laet u dan niet versteken
Hier van, door ’t nieu gesprek:
Want die noit kon gebreken
En dee ook noit gebrek.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.

Ghy haet o Heer der Heren
Den Boos wigt, en ‘tmis daed.
Dies ik, die blasphemeren
Wil, blasphemeren laet.
Neygt handen en mond
Na Goods bevel,
Want waerder geen zond
Daer waer geen hel.",O Heer God van boven,Leuven,../../data/dbnl/stal001extr01_01.xml
4731,stal001extr01_0154,1631,1631.0,1000716,352222111122222,mmmmmmvvmmmmmmm,AABBCCddEEEFGFG,3A 5A 2B 2B 2C 2C 1d 1d 1E 1E 2E 2F 2G 2F 2G,.3A   .5A   .2B   .2B   .2C   .2C   .1d   .1d   .1E   .1E   2E   .2F   .2G   .2F   .2G,,7,15,"VErnieuwer! zwijg-me kort
Godts liefde Wert in een Christen hart gestort
Al zoomen leest
Door d’heyl’gen Geest
Die Godes hand
Ons neder zandt
Mitsdezen,
moet wezen
In’t hart
ontwart,
van zond en smart
‘tGeen onze min
Te Gode stiert
En onze zin
Van binnen sierdt.

Dit tuigt al om de Schrift.
Iae zellifs De reden ook, want Christus gift
Ons meer verkreeg
Als al ’t ondeeg
Van Adams quaed
Ons heeft geschaedt.
Maer dezen
wy lezen
Dat deur
quae keur
De zond’// ons kond’
Doen zinken in
De diepste zin.
Hoe veel te meer//
Kon dan den Heer?

Des hy recht als een Lam
Van offer, Op hem des werelds zonden nam.
Om door zijn kruys
Te maken kuys
Het lief gezin
Van ’t Kerken huys.
Geen droogen
geen logen
Noch oit
gestroit
Zoo dier// als hier
Was ’t heilig bloed
Des Lams, daer met
Zijn liefde zoet
Ons heeft ontsmet.

Tot dezen eynde gaf
Heer Iesus Zich zelven tot zoo harden straf
Zulks ik besluit,
Met reden, uit
Zijn woorden die
Ik lees en zie
Wild veil’gen
en heil’gen
O vaer!
mijn schaer
In waerheyd maer
Daer vooren ik
Mijn leven schik
U t’offeren, met
Dit lief gebed.

Hy bad hier dan te quist;
Ist dat hy De waere heiligmaking mist
In zijn Gemeent.
Maer neen: en meent
Niet dat den Heer,
Om d’yd’le leer
Van luyden
van huyden,
Zijn zoon verscheyd,
Of loon ontzeydt.
Maer dat de Bruyd
Des Konigs blijft
Versiert, hoe guyt
Of Ketter kijft.

De Coninglijkke Maegd
Int diepste
Der zielen alle schoonheyd draegd.
Hier is dat licht,
Hier is dat sticht
’t Geloof, met haer
Gehoopte paer.
Hier sieren// de vieren
Die God// haer tot
Een lief genot
Van ziel van zin,
Ontsteken heeft
Tot dat zijn min
Noch beter geeft.

Hier is ’t geblomde bed
Met deugden
Van alderhande slag bezet.
Daer in de lust
Des Brugoms rust.
Maer hoe zou dit
Versierdt bezit
Den Koning// tot woning
Tot jeugd// tot vreugd
Van stage deugd
Verstrekken, waert
Nae ’s ketters zin
Met zond bezwaerdt
Van binnen in?",La Vignonne,Leuven,../../data/dbnl/stal001extr01_01.xml
4775,stal001extr01_0198,1631,1631.0,1000716,333223332233333,vvvvvvvvvvvvvvv,aabbbccdddeefff,3a 3a 3b 2b 2b 3c 3c 3d 2d 2d 3e 3e 3f 3f 3f,.3a   .3a   .3b    2b=   2b=  .3c   .3c   .3d    2d/   2d/  3e   .3e   .3f*  .3f* 3f,,7,15,"MAn Goods! wat is de
Dit is, na wy bereden// Dat wy de deugd vertreden,
vinden// De proef van Godes vrinden,
En d’opgeblaze zinnen//  Zien ver-
En van zijn trouwe knapen// ‘tHoogste
winnen// zien verwinnen?  │
wapen// ’t hoogste wapen, │ Des
wy in alle lijden// Ons wel te recht
verblijden// Als in den rijksten ze-
gen, :ſſ:  Onzer aerdscher
wegen.

God wil daer deur beletten,
Onz’ hart en zin te zetten
Als inden rijksten zegen
Onzer wege.
Om hem alleen te dorsten,
Doet hy des werelds borsten
Als met vergalde kelken
Ons de mond bemelken.
Man Goods etc.

Om met alzulke lonen,
Goods juiste schael te tonen.
Die ook de aerdse dwaezen,
Payt met asen.
Voor d’Hemelsche secreten:
En blijft geen deugd vergeten:
Die ons om arbeyd veilen
Alderhande heilen.
Man Goods etc.

’t Is om daer deur te melden,
De Godt-bevruchte helden
Haer zin tot hoger prijzen
Op te rijzen.
Ach omberade menschen!
Dat ons de ile wenschen
Dies vande aerdse hoven,
Leyder gaen te boven,
Man Goods etc.

Waer zull’ wy ’t aensigt laten,
Dat om geringen baten
Van rokken, stokken, stoelen,
Zy dus woelen:
En wy om ’t eeuwig leven,
Niet zoo veel durven geven.
Als zy met milde handen
Om eeuwig te branden.
Man Goods etc.

Dus plag de harde nekken,
Goods oordeel op te trekken:
Om die door veel gelukken
Neer te drukken.
Gelijck de lode ballen,
Te dieper nedervallen,
Zoo die te hooger waren,
Voor heen op gevaren.
Man Goods et.

Mijn Heer, mijn God, mijn zegen!
Oprecht sijn al uw’ wegen.
Strekt my maer deze lering
Tot bekering.
Doedt voorts naer uw’ behagen;
Tot iver vanden tragen,
En glory uwer namen,
’t Alder eeuwen. Amen.
Man Goods etc.",Custos quid de nocte,Leuven,../../data/dbnl/stal001extr01_01.xml
